Player Name - Slate Type,Contest IDs,Player ID,Draftable ID,Player Name,First Name,Last Name,Salary,Position,Team,Game,Game Start Time,Player Image,Tournament,Slate Type,Game Type,Date,Role,Contest Names,Contest IDs (Full),Slate Header
Jahmyr Gibbs - Showdown Captain Mode (Captain),195677825;195677823;195677820;195677827;195677826;195677817;195677818;195677824;195677876;195677840;195677841;195677865;195677866;195677867;195677881;195677882;195677883;195677884;195677858;195677859,1214154,44138478,Jahmyr Gibbs,Jahmyr,Gibbs,18000,CPT,DET,DET @ BUF,09/17/2026 08:15 PM,https://dkn.gs/sports/images/nfl/players/50/693115.png,DET @ BUF,Showdown Captain Mode,NFL,9/17,Captain,"NFL Showdown $1.5M Thursday Night Showdown [$500K to 1st] (DET @ BUF);NFL Showdown $600K Wildcat [$150K to 1st] (DET @ BUF);NFL Showdown $402K Luxury Box [$100K to 1st] (DET @ BUF);NFL Showdown $300K Play-Action [20 Entry Max] (DET @ BUF);NFL Showdown $250K Flea Flicker [$50K to 1st] (DET @ BUF);NFL Showdown $100K Huddle [Single Entry] (DET @ BUF);NFL Showdown $10K Huddle [Single Entry] (DET @ BUF);NFL Showdown $150K Bootleg [$50K to 1st] (DET @ BUF);NFL Showdown $160K Four-Point Stance [$50K to 1st, 5 Entry Max] (DET @ BUF);NFL Showdown $100K Spy [$20K to 1st, Single Entry] (DET @ BUF)",195677825;195677823;195677820;195677827;195677826;195677817;195677818;195677824;195677876;195677840;195677841;195677865;195677866;195677867;195677881;195677882;195677883;195677884;195677858;195677859,9/17 8:15PM (DET @ BUF)
Josh Allen - Showdown Captain Mode (Captain),195677825;195677823;195677820;195677827;195677826;195677817;195677818;195677824;195677876;195677840;195677841;195677865;195677866;195677867;195677881;195677882;195677883;195677884;195677858;195677859,868199,44138479,Josh Allen,Josh,Allen,17100,CPT,BUF,DET @ BUF,09/17/2026 08:15 PM,https://dkn.gs/sports/images/nfl/players/50/11370.png,DET @ BUF,Showdown Captain Mode,NFL,9/17,Captain,"NFL Showdown $1.5M Thursday Night Showdown [$500K to 1st] (DET @ BUF);NFL Showdown $600K Wildcat [$150K to 1st] (DET @ BUF);NFL Showdown $402K Luxury Box [$100K to 1st] (DET @ BUF);NFL Showdown $300K Play-Action [20 Entry Max] (DET @ BUF);NFL Showdown $250K Flea Flicker [$50K to 1st] (DET @ BUF);NFL Showdown $100K Huddle [Single Entry] (DET @ BUF);NFL Showdown $10K Huddle [Single Entry] (DET @ BUF);NFL Showdown $150K Bootleg [$50K to 1st] (DET @ BUF);NFL Showdown $160K Four-Point Stance [$50K to 1st, 5 Entry Max] (DET @ BUF);NFL Showdown $100K Spy [$20K to 1st, Single Entry] (DET @ BUF)",195677825;195677823;195677820;195677827;195677826;195677817;195677818;195677824;195677876;195677840;195677841;195677865;195677866;195677867;195677881;195677882;195677883;195677884;195677858;195677859,9/17 8:15PM (DET @ BUF)
Amon-Ra St. Brown - Showdown Captain Mode (Captain),195677825;195677823;195677820;195677827;195677826;195677817;195677818;195677824;195677876;195677840;195677841;195677865;195677866;195677867;195677881;195677882;195677883;195677884;195677858;195677859,1127106,44138480,Amon-Ra St. Brown,Amon-Ra,St. Brown,15600,CPT,DET,DET @ BUF,09/17/2026 08:15 PM,https://dkn.gs/sports/images/nfl/players/50/560800.png,DET @ BUF,Showdown Captain Mode,NFL,9/17,Captain,"NFL Showdown $1.5M Thursday Night Showdown [$500K to 1st] (DET @ BUF);NFL Showdown $600K Wildcat [$150K to 1st] (DET @ BUF);NFL Showdown $402K Luxury Box [$100K to 1st] (DET @ BUF);NFL Showdown $300K Play-Action [20 Entry Max] (DET @ BUF);NFL Showdown $250K Flea Flicker [$50K to 1st] (DET @ BUF);NFL Showdown $100K Huddle [Single Entry] (DET @ BUF);NFL Showdown $10K Huddle [Single Entry] (DET @ BUF);NFL Showdown $150K Bootleg [$50K to 1st] (DET @ BUF);NFL Showdown $160K Four-Point Stance [$50K to 1st, 5 Entry Max] (DET @ BUF);NFL Showdown $100K Spy [$20K to 1st, Single Entry] (DET @ BUF)",195677825;195677823;195677820;195677827;195677826;195677817;195677818;195677824;195677876;195677840;195677841;195677865;195677866;195677867;195677881;195677882;195677883;195677884;195677858;195677859,9/17 8:15PM (DET @ BUF)
Jared Goff - Showdown Captain Mode (Captain),195677825;195677823;195677820;195677827;195677826;195677817;195677818;195677824;195677876;195677840;195677841;195677865;195677866;195677867;195677881;195677882;195677883;195677884;195677858;195677859,727837,44138481,Jared Goff,Jared,Goff,14400,CPT,DET,DET @ BUF,09/17/2026 08:15 PM,https://dkn.gs/sports/images/nfl/players/50/13631.png,DET @ BUF,Showdown Captain Mode,NFL,9/17,Captain,"NFL Showdown $1.5M Thursday Night Showdown [$500K to 1st] (DET @ BUF);NFL Showdown $600K Wildcat [$150K to 1st] (DET @ BUF);NFL Showdown $402K Luxury Box [$100K to 1st] (DET @ BUF);NFL Showdown $300K Play-Action [20 Entry Max] (DET @ BUF);NFL Showdown $250K Flea Flicker [$50K to 1st] (DET @ BUF);NFL Showdown $100K Huddle [Single Entry] (DET @ BUF);NFL Showdown $10K Huddle [Single Entry] (DET @ BUF);NFL Showdown $150K Bootleg [$50K to 1st] (DET @ BUF);NFL Showdown $160K Four-Point Stance [$50K to 1st, 5 Entry Max] (DET @ BUF);NFL Showdown $100K Spy [$20K to 1st, Single Entry] (DET @ BUF)",195677825;195677823;195677820;195677827;195677826;195677817;195677818;195677824;195677876;195677840;195677841;195677865;195677866;195677867;195677881;195677882;195677883;195677884;195677858;195677859,9/17 8:15PM (DET @ BUF)
James Cook III - Showdown Captain Mode (Captain),195677825;195677823;195677820;195677827;195677826;195677817;195677818;195677824;195677876;195677840;195677841;195677865;195677866;195677867;195677881;195677882;195677883;195677884;195677858;195677859,1131012,44138482,James Cook III,James,Cook III,14100,CPT,BUF,DET @ BUF,09/17/2026 08:15 PM,https://dkn.gs/sports/images/nfl/players/50/640895.png,DET @ BUF,Showdown Captain Mode,NFL,9/17,Captain,"NFL Showdown $1.5M Thursday Night Showdown [$500K to 1st] (DET @ BUF);NFL Showdown $600K Wildcat [$150K to 1st] (DET @ BUF);NFL Showdown $402K Luxury Box [$100K to 1st] (DET @ BUF);NFL Showdown $300K Play-Action [20 Entry Max] (DET @ BUF);NFL Showdown $250K Flea Flicker [$50K to 1st] (DET @ BUF);NFL Showdown $100K Huddle [Single Entry] (DET @ BUF);NFL Showdown $10K Huddle [Single Entry] (DET @ BUF);NFL Showdown $150K Bootleg [$50K to 1st] (DET @ BUF);NFL Showdown $160K Four-Point Stance [$50K to 1st, 5 Entry Max] (DET @ BUF);NFL Showdown $100K Spy [$20K to 1st, Single Entry] (DET @ BUF)",195677825;195677823;195677820;195677827;195677826;195677817;195677818;195677824;195677876;195677840;195677841;195677865;195677866;195677867;195677881;195677882;195677883;195677884;195677858;195677859,9/17 8:15PM (DET @ BUF)
Jahmyr Gibbs - Showdown Captain Mode (Flex),195677825;195677823;195677820;195677827;195677826;195677817;195677818;195677824;195677876;195677840;195677841;195677865;195677866;195677867;195677881;195677882;195677883;195677884;195677858;195677859,1214154,44138432,Jahmyr Gibbs,Jahmyr,Gibbs,12000,RB,DET,DET @ BUF,09/17/2026 08:15 PM,https://dkn.gs/sports/images/nfl/players/50/693115.png,DET @ BUF,Showdown Captain Mode,NFL,9/17,Flex,"NFL Showdown $1.5M Thursday Night Showdown [$500K to 1st] (DET @ BUF);NFL Showdown $600K Wildcat [$150K to 1st] (DET @ BUF);NFL Showdown $402K Luxury Box [$100K to 1st] (DET @ BUF);NFL Showdown $300K Play-Action [20 Entry Max] (DET @ BUF);NFL Showdown $250K Flea Flicker [$50K to 1st] (DET @ BUF);NFL Showdown $100K Huddle [Single Entry] (DET @ BUF);NFL Showdown $10K Huddle [Single Entry] (DET @ BUF);NFL Showdown $150K Bootleg [$50K to 1st] (DET @ BUF);NFL Showdown $160K Four-Point Stance [$50K to 1st, 5 Entry Max] (DET @ BUF);NFL Showdown $100K Spy [$20K to 1st, Single Entry] (DET @ BUF)",195677825;195677823;195677820;195677827;195677826;195677817;195677818;195677824;195677876;195677840;195677841;195677865;195677866;195677867;195677881;195677882;195677883;195677884;195677858;195677859,9/17 8:15PM (DET @ BUF)
DJ Moore - Showdown Captain Mode (Captain),195677825;195677823;195677820;195677827;195677826;195677817;195677818;195677824;195677876;195677840;195677841;195677865;195677866;195677867;195677881;195677882;195677883;195677884;195677858;195677859,877790,44138483,DJ Moore,DJ,Moore,11700,CPT,BUF,DET @ BUF,09/17/2026 08:15 PM,https://dkn.gs/sports/images/nfl/players/50/20423.png,DET @ BUF,Showdown Captain Mode,NFL,9/17,Captain,"NFL Showdown $1.5M Thursday Night Showdown [$500K to 1st] (DET @ BUF);NFL Showdown $600K Wildcat [$150K to 1st] (DET @ BUF);NFL Showdown $402K Luxury Box [$100K to 1st] (DET @ BUF);NFL Showdown $300K Play-Action [20 Entry Max] (DET @ BUF);NFL Showdown $250K Flea Flicker [$50K to 1st] (DET @ BUF);NFL Showdown $100K Huddle [Single Entry] (DET @ BUF);NFL Showdown $10K Huddle [Single Entry] (DET @ BUF);NFL Showdown $150K Bootleg [$50K to 1st] (DET @ BUF);NFL Showdown $160K Four-Point Stance [$50K to 1st, 5 Entry Max] (DET @ BUF);NFL Showdown $100K Spy [$20K to 1st, Single Entry] (DET @ BUF)",195677825;195677823;195677820;195677827;195677826;195677817;195677818;195677824;195677876;195677840;195677841;195677865;195677866;195677867;195677881;195677882;195677883;195677884;195677858;195677859,9/17 8:15PM (DET @ BUF)
Josh Allen - Showdown Captain Mode (Flex),195677825;195677823;195677820;195677827;195677826;195677817;195677818;195677824;195677876;195677840;195677841;195677865;195677866;195677867;195677881;195677882;195677883;195677884;195677858;195677859,868199,44138433,Josh Allen,Josh,Allen,11400,QB,BUF,DET @ BUF,09/17/2026 08:15 PM,https://dkn.gs/sports/images/nfl/players/50/11370.png,DET @ BUF,Showdown Captain Mode,NFL,9/17,Flex,"NFL Showdown $1.5M Thursday Night Showdown [$500K to 1st] (DET @ BUF);NFL Showdown $600K Wildcat [$150K to 1st] (DET @ BUF);NFL Showdown $402K Luxury Box [$100K to 1st] (DET @ BUF);NFL Showdown $300K Play-Action [20 Entry Max] (DET @ BUF);NFL Showdown $250K Flea Flicker [$50K to 1st] (DET @ BUF);NFL Showdown $100K Huddle [Single Entry] (DET @ BUF);NFL Showdown $10K Huddle [Single Entry] (DET @ BUF);NFL Showdown $150K Bootleg [$50K to 1st] (DET @ BUF);NFL Showdown $160K Four-Point Stance [$50K to 1st, 5 Entry Max] (DET @ BUF);NFL Showdown $100K Spy [$20K to 1st, Single Entry] (DET @ BUF)",195677825;195677823;195677820;195677827;195677826;195677817;195677818;195677824;195677876;195677840;195677841;195677865;195677866;195677867;195677881;195677882;195677883;195677884;195677858;195677859,9/17 8:15PM (DET @ BUF)
Jameson Williams - Showdown Captain Mode (Captain),195677825;195677823;195677820;195677827;195677826;195677817;195677818;195677824;195677876;195677840;195677841;195677865;195677866;195677867;195677881;195677882;195677883;195677884;195677858;195677859,1175184,44138484,Jameson Williams,Jameson,Williams,11100,CPT,DET,DET @ BUF,09/17/2026 08:15 PM,https://dkn.gs/sports/images/nfl/players/50/624663.png,DET @ BUF,Showdown Captain Mode,NFL,9/17,Captain,"NFL Showdown $1.5M Thursday Night Showdown [$500K to 1st] (DET @ BUF);NFL Showdown $600K Wildcat [$150K to 1st] (DET @ BUF);NFL Showdown $402K Luxury Box [$100K to 1st] (DET @ BUF);NFL Showdown $300K Play-Action [20 Entry Max] (DET @ BUF);NFL Showdown $250K Flea Flicker [$50K to 1st] (DET @ BUF);NFL Showdown $100K Huddle [Single Entry] (DET @ BUF);NFL Showdown $10K Huddle [Single Entry] (DET @ BUF);NFL Showdown $150K Bootleg [$50K to 1st] (DET @ BUF);NFL Showdown $160K Four-Point Stance [$50K to 1st, 5 Entry Max] (DET @ BUF);NFL Showdown $100K Spy [$20K to 1st, Single Entry] (DET @ BUF)",195677825;195677823;195677820;195677827;195677826;195677817;195677818;195677824;195677876;195677840;195677841;195677865;195677866;195677867;195677881;195677882;195677883;195677884;195677858;195677859,9/17 8:15PM (DET @ BUF)
Amon-Ra St. Brown - Showdown Captain Mode (Flex),195677825;195677823;195677820;195677827;195677826;195677817;195677818;195677824;195677876;195677840;195677841;195677865;195677866;195677867;195677881;195677882;195677883;195677884;195677858;195677859,1127106,44138434,Amon-Ra St. Brown,Amon-Ra,St. Brown,10400,WR,DET,DET @ BUF,09/17/2026 08:15 PM,https://dkn.gs/sports/images/nfl/players/50/560800.png,DET @ BUF,Showdown Captain Mode,NFL,9/17,Flex,"NFL Showdown $1.5M Thursday Night Showdown [$500K to 1st] (DET @ BUF);NFL Showdown $600K Wildcat [$150K to 1st] (DET @ BUF);NFL Showdown $402K Luxury Box [$100K to 1st] (DET @ BUF);NFL Showdown $300K Play-Action [20 Entry Max] (DET @ BUF);NFL Showdown $250K Flea Flicker [$50K to 1st] (DET @ BUF);NFL Showdown $100K Huddle [Single Entry] (DET @ BUF);NFL Showdown $10K Huddle [Single Entry] (DET @ BUF);NFL Showdown $150K Bootleg [$50K to 1st] (DET @ BUF);NFL Showdown $160K Four-Point Stance [$50K to 1st, 5 Entry Max] (DET @ BUF);NFL Showdown $100K Spy [$20K to 1st, Single Entry] (DET @ BUF)",195677825;195677823;195677820;195677827;195677826;195677817;195677818;195677824;195677876;195677840;195677841;195677865;195677866;195677867;195677881;195677882;195677883;195677884;195677858;195677859,9/17 8:15PM (DET @ BUF)
