Player,Position,Team,Opp,FF Avg,FG Avg,FGA Avg,FPTS Avg,FR Avg,FUM_LOST Avg,INT Avg,PA Avg,PASS_ATT Avg,PASS_CMP Avg,PASS_TD Avg,PASS_YDS Avg,REC Avg,REC_TD Avg,REC_YDS Avg,RUSH_ATT Avg,RUSH_TD Avg,RUSH_YDS Avg,SACK Avg,SAFETY Avg,TD Avg,XPT Avg,YDS_AGN Avg,DraftKings,FanDuel,PrizePicks,Underdog,Fav,Spread,O/U,Match Title (Underdog),Game Short Title (Underdog),Venue Name (Underdog),Venue Type (Underdog),Broadcasts (Underdog),Player Salary,Player Image,Tournament,Game Start Time
Josh Allen,QB,BUF,,,,,23.2,,0.2,0.525,,30.985,20.74,1.655,251.72,,,,6.975,0.515,32.67,,,,,,22.32,22.12,22.32,22.32,,,,DET @ BUF,Lions @ Bills,Highmark Stadium,outdoor,Prime,17100,https://dkn.gs/sports/images/nfl/players/50/11370.png,DET @ BUF,9/17/2026
Dak Prescott,QB,DAL,,,,,21,,0.2,0.575,,34.51,22.615,1.685,265.05,,,,3.2,0.32,8.58,,,,,,19.35,19.15,19.35,19.35,,,,WAS @ DAL,Commanders @ Cowboys,AT&T Stadium,retractable_dome,FOX,15600,https://dkn.gs/sports/images/nfl/players/50/18078.png,WAS @ DAL,9/20/2026
Brock Purdy,QB,SF,,,,,20.9,,0.2,0.51,,28.565,19.8,1.67,238.42,,,,4.4,0.36,13.625,,,,,,19.03,18.83,19.03,19.03,,,,MIA @ SF,Dolphins @ 49ers,Levi's Stadium,outdoor,FOX,15300,https://dkn.gs/sports/images/nfl/players/50/641156.png,MIA @ SF,9/20/2026
Jayden Daniels,QB,WAS,,,,,20.4,,0.2,0.555,,29.56,19.61,1.355,216.27,,,,6.585,0.395,37.16,,,,,,19.4,19.2,19.4,19.4,,,,WAS @ DAL,Commanders @ Cowboys,AT&T Stadium,retractable_dome,FOX,15000,https://dkn.gs/sports/images/nfl/players/50/779695.png,WAS @ DAL,9/20/2026
Jalen Hurts,QB,PHI,,,,,20.3,,0.2,0.525,,28.535,18.01,1.33,206.48,,,,7.55,0.45,29.62,,,,,,18.52,18.32,18.52,18.52,,,,PHI @ TEN,Eagles @ Titans,Nissan Stadium,outdoor,FOX,16500,https://dkn.gs/sports/images/nfl/players/50/479300.png,PHI @ TEN,9/20/2026
Lamar Jackson,QB,BAL,,,,,20.2,,0.2,0.5,,27.465,18.52,1.495,221.4,,,,7.82,0.415,40.22,,,,,,20.65,20.45,20.65,20.65,,,,NO @ BAL,Saints @ Ravens,M&T Bank Stadium,outdoor,CBS,16200,https://dkn.gs/sports/images/nfl/players/50/17173.png,NO @ BAL,9/20/2026
Patrick Mahomes II,QB,KC,,,,,19,,0.1,0.54,,30.565,20.45,1.51,219,,,,3.585,0.355,17.085,,,,,,18,17.9,18,18,,,,IND @ KC,Colts @ Chiefs,Arrowhead Stadium,outdoor,NBC/Peacock,5500,https://dkn.gs/sports/images/nfl/players/50/11644.png,IND @ KC,9/20/2026
Drake Maye,QB,NE,,,,,18.7,,0.2,0.555,,29.585,20.6,1.41,224.8,,,,5.9,0.39,25.485,,,,,,18.77,18.57,18.77,18.77,,,,PIT @ NE,Steelers @ Patriots,Gillette Stadium,outdoor,CBS,15000,https://dkn.gs/sports/images/nfl/players/50/779819.png,PIT @ NE,9/20/2026
Justin Herbert,QB,LAC,,,,,18.6,,0.2,0.6,,27.585,19.585,1.48,223.74,,,,5,0.335,22.97,,,,,,18.38,18.18,18.38,18.38,,,,LV @ LAC,Raiders @ Chargers,SoFi Stadium,outdoor,CBS,15000,https://dkn.gs/sports/images/nfl/players/50/468527.png,LV @ LAC,9/20/2026
Jaxson Dart,QB,NYG,,,,,18,,0.2,0.545,,30.785,19.735,1.245,214.37,,,,6.13,0.39,30.115,,,,,,18.16,17.96,18.16,18.16,,,,n/a,n/a,n/a,n/a,n/a,5800,https://dkn.gs/sports/images/nfl/players/50/886040.png,NYG @ LAR,9/21/2026
