PLAYER,POS,TEAM,OPP,ML,O/U,SPRD,TM/P,SAL,FPTS,VAL,RST%
Jahmyr Gibbs,RB,DET,NO,-329,50,-7,28.5,8000,22.19,2.8,37.1
Omarion Hampton,RB,LAC,ARI,-510,47.5,-9,28.25,6800,16.08,2.4,12.8
Ja'Marr Chase,WR,CIN,TB,-206,50.5,-3.5,27,7800,20.4,2.6,30.3
Amon-Ra St. Brown,WR,DET,NO,-329,50,-7,28.5,7500,20.23,2.7,22.4
Sam LaPorta,TE,DET,NO,-329,50,-7,28.5,4400,13.79,3.1,11.6
Tee Higgins,WR,CIN,TB,-206,50.5,-3.5,27,6300,16.16,2.6,11.7
Justin Jefferson,WR,MIN,GB,-125,46.5,-1.5,24,7300,17.51,2.4,11.1
Tre Tucker,WR,LV,MIA,-171,40,-3,21.5,4000,10.52,2.6,13.7
DeVonta Smith,WR,PHI,WAS,-246,44.5,-5.5,25,6600,16.68,2.5,8.1
Zay Flowers,WR,BAL,IND,-179,47.5,-3.5,25.5,6400,15.64,2.4,14.8
Saquon Barkley,RB,PHI,WAS,-246,44.5,-5.5,25,6900,16.16,2.3,14.3
Jaylen Warren,RB,PIT,ATL,-266,41,-6,23.5,5400,13.54,2.5,3.5
Chase Brown,RB,CIN,TB,-206,50.5,-3.5,27,7100,17.17,2.4,8.2
Michael Mayer,TE,LV,MIA,-171,40,-3,21.5,2900,8.51,2.9,28
Colston Loveland,TE,CHI,CAR,-175,47,-3,25,5300,13.8,2.6,9.2
Devaughn Vele,WR,NO,DET,260,50,7,21.5,3500,9.8,2.8,7
Luther Burden,WR,CHI,CAR,-175,47,-3,25,5500,13.15,2.4,10.9
Jalen Hurts,QB,PHI,WAS,-246,44.5,-5.5,25,6600,22.93,3.5,6.6
Rico Dowdle,RB,PIT,ATL,-266,41,-6,23.5,5200,12.7,2.4,2.4
Jonathan Taylor,RB,IND,BAL,149,47.5,3.5,22,7300,19.13,2.6,17.5
Tyler Warren,TE,IND,BAL,149,47.5,3.5,22,4900,13.78,2.8,9.4
Jalen Coker,WR,CAR,CHI,145,47,3,22,4600,11.92,2.6,5
Joe Burrow,QB,CIN,TB,-206,50.5,-3.5,27,6900,21.57,3.1,8.1
Jayden Reed,WR,GB,MIN,100,46.5,1.5,22.5,4900,12.1,2.5,4.5
Ashton Jeanty,RB,LV,MIA,-171,40,-3,21.5,6600,16.52,2.5,14.2
Nico Collins,WR,HOU,BUF,100,45,1.5,21.75,7000,16.48,2.3,7.9
Jameson Williams,WR,DET,NO,-329,50,-7,28.5,6000,14.17,2.4,9
Mark Andrews,TE,BAL,IND,-179,47.5,-3.5,25.5,3900,10.29,2.6,5.3
T.J. Hockenson,TE,MIN,GB,-125,46.5,-1.5,24,3300,8.8,2.7,5.5
Garrett Wilson,WR,NYJ,TEN,100,38.5,1.5,18.5,5800,14.84,2.6,13.4
Tetairoa McMillan,WR,CAR,CHI,145,47,3,22,6100,14.92,2.5,9.7
Kyler Murray,QB,MIN,GB,-125,46.5,-1.5,24,5500,17.85,3.3,8.4
New York Jets,D,NYJ,TEN,100,38.5,1.5,18.5,2500,7.02,2.8,13.3
Jacksonville Jaguars,D,JAX,CLE,-443,40,-8.5,24.25,3400,8.57,2.5,10.9
Derrick Henry,RB,BAL,IND,-179,47.5,-3.5,25.5,6700,15.39,2.3,14.6
Travis Etienne,RB,NO,DET,260,50,7,21.5,5900,14.58,2.5,6.4
Cam Ward,QB,TEN,NYJ,-122,38.5,-1.5,20,5100,17.48,3.4,2.5
Minnesota Vikings,D,MIN,GB,-125,46.5,-1.5,24,2800,6.45,2.3,3.5
Geno Smith,QB,NYJ,TEN,100,38.5,1.5,18.5,4600,16.74,3.6,2.5
Bijan Robinson,RB,ATL,PIT,216,41,6,17.5,7700,19.29,2.5,21.4
Las Vegas Raiders,D,LV,MIA,-171,40,-3,21.5,2900,7.69,2.7,6.3
David Montgomery,RB,HOU,BUF,100,45,1.5,21.75,6000,15.36,2.6,3
Baker Mayfield,QB,TB,CIN,169,50.5,3.5,23.5,5900,19.53,3.3,4.6
Dallas Goedert,TE,PHI,WAS,-246,44.5,-5.5,25,4100,10.55,2.6,6.9
Bucky Irving,RB,TB,CIN,169,50.5,3.5,23.5,5700,14.72,2.6,10.1
Wan'Dale Robinson,WR,TEN,NYJ,-122,38.5,-1.5,20,4800,11.14,2.3,4.8
Pittsburgh Steelers,D,PIT,ATL,-266,41,-6,23.5,3300,8.21,2.5,3.8
Lamar Jackson,QB,BAL,IND,-179,47.5,-3.5,25.5,6800,20.14,3,5.5
Quentin Johnston,WR,LAC,ARI,-510,47.5,-9,28.25,4700,11.01,2.3,11
Chris Olave,WR,NO,DET,260,50,7,21.5,6700,16.15,2.4,27.5
