Player Name,Position,Team,Slate Type,Date,Role,Salary,Draftable ID,Projected FP,Combined FP,Value,Implied FP,Passing TDs,Rushing Yards,Receiving Yards,Passing Yards,Rush+Rec Yards,Anytime TD,Passing Attempts,Fantasy Score,Headshot URL,Game Start Time,Match Title (Underdog),Game Short Title (Underdog),Venue Name (Underdog),Venue Type (Underdog),Broadcasts (Underdog),Game Start Time (DRAFTTABLE),Proj Pass Comp,Proj Pass Att,Proj Comp %,Proj Pass Yds,Proj Pass AVG,Proj Pass Long,Proj Pass TDs,Proj INT,Proj Passer Rating,Proj Rush Att,Proj Rush Yds,Proj Rush AVG,Proj Rush Long,Proj Rush TDs,Proj Rec,Proj Targets,Proj Rec Yds,Proj Rec AVG,Proj Rec Long,Proj Rec TDs,Proj Anytime TD,Proj Fumbles,Proj Fumbles Lost,Proj FG,Proj PAT,Proj Kick Pts
Jahmyr Gibbs,CPT,DET,Showdown Captain Mode,9/13/2026,Showdown Captain Mode 9/13 1:00PM ( @ ),18000,44081469,20.06,25.04,1.11,54,,39.5,10.5,,,,,17,https://dkn.gs/sports/images/nfl/players/50/693115.png,12/30/1899,n/a,n/a,n/a,n/a,n/a,9/13/2026,,,,,,,,,,17.88,84.03,4.7,,0.49,4.37,5,30.29,6.93,13.5,0.11,0.71,,0.1,,,
Ja'Marr Chase,CPT,CIN,Showdown Captain Mode,9/13/2026,Showdown Captain Mode 9/13 1:00PM ( @ ),17700,44081984,19.12,24.56,1.08,53.1,,,45.5,,,,,14,https://dkn.gs/sports/images/nfl/players/50/557826.png,12/30/1899,n/a,n/a,n/a,n/a,n/a,9/13/2026,,,,,,,,,,0.2,0.9,4.5,,0,7.37,10.5,86.29,11.71,25.5,0.51,0.52,,0,,,
Bijan Robinson,CPT,ATL,Showdown Captain Mode,9/13/2026,Showdown Captain Mode 9/13 1:00PM ( @ ),17700,44081675,18.97,23.98,1.07,53.1,,39.5,14.5,,,,,15,https://dkn.gs/sports/images/nfl/players/50/693112.png,12/30/1899,n/a,n/a,n/a,n/a,n/a,9/13/2026,,,,,,,,,,18.43,76.5,4.15,,0.5,4.37,5.5,36.5,8.35,14.12,0.15,0.55,,0.1,,,
Puka Nacua,CPT,LAR,Showdown Captain Mode,9/10/2026,Showdown Captain Mode 9/10 8:35PM ( @ ),16800,44080768,18.65,23.31,1.11,50.4,,6.5,45.5,,,,,13.5,https://dkn.gs/sports/images/nfl/players/50/706654.png,12/30/1899,n/a,n/a,n/a,n/a,n/a,9/10/2026,,,,,,,,,,0.7,3.29,4.7,,0,7.35,10,90.5,12.31,27.35,0.45,0.4,,0,,,
Jahmyr Gibbs,RB,DET,Showdown Captain Mode,9/13/2026,Showdown Captain Mode 9/13 1:00PM ( @ ),12000,44081416,20.06,22.4,1.67,36,,39.5,10.5,,,,,17,https://dkn.gs/sports/images/nfl/players/50/693115.png,12/30/1899,n/a,n/a,n/a,n/a,n/a,9/13/2026,,,,,,,,,,17.88,84.03,4.7,,0.49,4.37,5,30.29,6.93,13.5,0.11,0.71,,0.1,,,
Amon-Ra St. Brown,CPT,DET,Showdown Captain Mode,9/13/2026,Showdown Captain Mode 9/13 1:00PM ( @ ),16500,44081470,17.01,22.21,1.03,49.5,,,36.5,,,,,12.5,https://dkn.gs/sports/images/nfl/players/50/560800.png,12/30/1899,n/a,n/a,n/a,n/a,n/a,9/13/2026,,,,0,,,,,,0.2,0.55,2.75,,0,6.68,9,77.92,11.66,22.5,0.49,0.46,,0,,,
Christian McCaffrey,CPT,SF,Showdown Captain Mode,9/10/2026,Showdown Captain Mode 9/10 8:35PM ( @ ),15900,44080769,17.82,22.2,1.12,47.7,,29.5,19.5,,,,,14,https://dkn.gs/sports/images/nfl/players/50/20415.png,12/30/1899,n/a,n/a,n/a,n/a,n/a,9/10/2026,,,,,,,,,,15.59,59.24,3.8,,0.5,4.69,5.5,38.49,8.21,16.89,0.2,0.56,,0.1,,,
Josh Allen,CPT,BUF,Showdown Captain Mode,9/13/2026,Showdown Captain Mode 9/13 1:00PM ( @ ),16500,44082085,17.86,22.08,1.08,49.5,0.5,10.5,,161.5,,,24.5,15.5,https://dkn.gs/sports/images/nfl/players/50/11370.png,12/30/1899,n/a,n/a,n/a,n/a,n/a,9/13/2026,20.06,30.67,65.4,221.5,7.22,35.5,1.16,0.74,89.2,6.71,31.77,4.73,,0.46,,,,,,,0.4,,0.2,,,
Lamar Jackson,CPT,BAL,Showdown Captain Mode,9/13/2026,Showdown Captain Mode 9/13 1:00PM ( @ ),16200,44081780,18,22.08,1.11,48.6,0.5,16.5,,151.5,,,21.5,15.5,https://dkn.gs/sports/images/nfl/players/50/17173.png,12/30/1899,n/a,n/a,n/a,n/a,n/a,9/13/2026,17.51,26.8,65.3,219.72,8.2,36.5,1.32,0.54,98.7,6.87,37.25,5.42,,0.39,,,,,,,0.25,,0.2,,,
Joe Burrow,CPT,CIN,Showdown Captain Mode,9/13/2026,Showdown Captain Mode 9/13 1:00PM ( @ ),15000,44081986,18.5,22.03,1.23,45,1.5,1.5,,197.5,,,29.5,15.5,https://dkn.gs/sports/images/nfl/players/50/485441.png,12/30/1899,n/a,n/a,n/a,n/a,n/a,9/13/2026,24.67,34.76,71,267.08,7.68,37.5,1.84,0.55,104.3,2.67,8.62,3.23,,0.3,,,,,,,0.11,,0.2,,,
